Day,Month,Year,Hydrologic_Year,06_Horas ,12_Horas,18_Horas,Media,Max,,,,,,,,,,,,,,
23,1,2013,2013,9.54,9.4,9.26,9.4,9.54,,,,,,,,,,,,,,
24,1,2013,2013,8.99,8.85,8.71,8.85,8.99,,,,,,,,,,,,,,
25,1,2013,2013,8.44,8.3,8.16,8.3,8.44,,,,,,,,,,,,,,
26,1,2013,2013,7.89,7.75,7.61,7.75,7.89,,,,,,,,,,,,,,
22,1,2012,2012,7.66,7.64,7.57,7.62,7.66,,,,,,,,,,,,,,
23,1,2012,2012,7.46,7.18,7.03,7.22,7.46,,,,,,,,,,,,,,
27,1,2013,2013,7.34,7.2,7.06,7.2,7.34,,,,,,,,,,,,,,
4,3,2017,2017,7.14,7.2,7.21,7.18,7.21,,,,,,,,,,,,,,
17,3,2014,2014,7.06,7.09,7.07,7.07,7.09,,,,,,,,,,,,,,
14,3,2014,2014,6.93,6.96,6.97,6.95,6.97,,,,,,,,,,,,,,
5,3,2017,2017,7.02,6.97,6.79,6.93,7.02,,,,,,,,,,,,,,
21,1,2012,2012,6.51,6.93,7.33,6.92,7.33,,,,,,,,,,,,,,
15,3,2014,2014,6.96,6.91,6.89,6.92,6.96,,,,,,,,,,,,,,
16,3,2014,2014,6.88,6.91,6.96,6.92,6.96,,,,,,,,,,,,,,
24,1,2011,2011,6.85,6.83,6.74,6.81,6.85,,,,,,,,,,,,,,
6,2,2017,2017,6.9,6.84,6.69,6.81,6.9,,,,,,,,,,,,,,
18,3,2014,2014,6.88,6.79,6.69,6.79,6.88,,,,,,,,,,,,,,
13,3,2014,2014,6.72,6.74,6.84,6.77,6.84,,,,,,,,,,,,,,
23,1,2011,2011,6.65,6.72,6.77,6.71,6.77,,,,,,,,,,,,,,
5,2,2017,2017,6.5,6.75,6.89,6.71,6.89,,,,,,,,,,,,,,
28,1,2013,2013,6.79,6.65,6.51,6.65,6.79,,,,,,,,,,,,,,
12,3,2014,2014,6.62,6.64,6.67,6.64,6.67,,,,,,,,,,,,,,
29,1,2011,2011,6.64,6.63,6.62,6.63,6.64,,,,,,,,,,,,,,
11,3,2014,2014,6.62,6.51,6.52,6.55,6.62,,,,,,,,,,,,,,
28,1,2011,2011,6.43,6.53,6.64,6.53,6.64,,,,,,,,,,,,,,
22,1,2013,2013,6.26,6.52,6.82,6.53,6.82,,,,,,,,,,,,,,
21,3,2014,2014,6.49,6.56,6.55,6.53,6.56,,,,,,,,,,,,,,
30,1,2011,2011,6.51,6.53,6.5,6.51,6.53,,,,,,,,,,,,,,
20,3,2014,2014,6.5,6.52,6.51,6.51,6.52,,,,,,,,,,,,,,
24,1,2012,2012,6.78,6.39,6.29,6.49,6.78,,,,,,,,,,,,,,
25,1,2011,2011,6.54,6.47,6.43,6.48,6.54,,,,,,,,,,,,,,
19,3,2014,2014,6.52,6.48,6.45,6.48,6.52,,,,,,,,,,,,,,
22,3,2014,2014,6.5,6.48,6.46,6.48,6.5,,,,,,,,,,,,,,
