Day,Month,Year,Hydrologic_Year,06_Horas ,12_Horas,18_Horas,Media,Max
1,7,1995,1996,1.97,,1.47,1.72,1.97
2,7,1995,1996,1.86,,1.41,1.64,1.86
3,7,1995,1996,1.82,,1.43,1.63,1.82
4,7,1995,1996,1.77,,1.4,1.59,1.77
5,7,1995,1996,1.73,,1.66,1.7,1.73
6,7,1995,1996,1.79,,1.84,1.82,1.84
7,7,1995,1996,1.99,,1.79,1.89,1.99
8,7,1995,1996,2.04,,1.88,1.96,2.04
9,7,1995,1996,2.09,,1.93,2.01,2.09
10,7,1995,1996,2.11,,1.97,2.04,2.11
11,7,1995,1996,1.86,,2.11,1.99,2.11
12,7,1995,1996,1.81,,2.07,1.94,2.07
13,7,1995,1996,1.74,,2.19,1.97,2.19
14,7,1995,1996,1.71,,2.22,1.97,2.22
15,7,1995,1996,1.68,,2.13,1.91,2.13
16,7,1995,1996,1.56,,1.92,1.74,1.92
17,7,1995,1996,1.51,,1.84,1.68,1.84
18,7,1995,1996,1.47,,1.81,1.64,1.81
19,7,1995,1996,1.42,,1.73,1.58,1.73
20,7,1995,1996,1.44,,1.66,1.55,1.66
21,7,1995,1996,1.4,,1.61,1.51,1.61
22,7,1995,1996,1.64,,1.54,1.59,1.64
23,7,1995,1996,1.61,,1.67,1.64,1.67
24,7,1995,1996,1.72,,1.53,1.63,1.72
25,7,1995,1996,1.74,,1.48,1.61,1.74
26,7,1995,1996,1.81,,1.41,1.61,1.81
27,7,1995,1996,1.87,,1.38,1.63,1.87
28,7,1995,1996,1.96,,1.4,1.68,1.96
29,7,1995,1996,1.99,1.47,,1.73,1.99
30,7,1995,1996,2.07,1.58,,1.83,2.07
31,7,1995,1996,2.13,1.66,,1.9,2.13
1,8,1995,1996,2.19,1.73,,1.96,2.19
2,8,1995,1996,2.23,1.78,,2.01,2.23
3,8,1995,1996,1.91,1.71,,1.81,1.91
4,8,1995,1996,1.86,1.64,,1.75,1.86
5,8,1995,1996,1.81,1.69,,1.75,1.81
6,8,1995,1996,1.76,1.96,,1.86,1.96
7,8,1995,1996,1.79,2.11,,1.95,2.11
8,8,1995,1996,1.66,2.19,,1.93,2.19
9,8,1995,1996,1.61,2.23,,1.92,2.23
10,8,1995,1996,1.57,2.07,,1.82,2.07
11,8,1995,1996,1.53,2.6,,2.07,2.6
12,8,1995,1996,1.51,1.94,,1.73,1.94
13,8,1995,1996,1.47,1.89,,1.68,1.89
14,8,1995,1996,1.42,1.91,,1.67,1.91
15,8,1995,1996,1.39,1.82,,1.61,1.82
16,8,1995,1996,1.36,1.73,,1.55,1.73
17,8,1995,1996,1.31,1.64,,1.48,1.64
18,8,1995,1996,1.58,1.6,,1.59,1.6
19,8,1995,1996,1.67,1.56,,1.62,1.67
20,8,1995,1996,1.63,1.59,,1.61,1.63
21,8,1995,1996,1.72,1.52,,1.62,1.72
22,8,1995,1996,1.69,1.47,,1.58,1.69
23,8,1995,1996,1.75,1.41,,1.58,1.75
24,8,1995,1996,1.79,1.82,,1.81,1.82
25,8,1995,1996,1.76,1.77,,1.77,1.77
26,8,1995,1996,1.81,1.92,,1.87,1.92
27,8,1995,1996,1.86,1.67,,1.77,1.86
28,8,1995,1996,1.99,2.04,,2.02,2.04
29,8,1995,1996,2.13,,2.2,2.17,2.2
30,8,1995,1996,2.17,,2.19,2.18,2.19
31,8,1995,1996,2.23,,2.11,2.17,2.23
1,9,1995,1996,2.28,,1.86,2.07,2.28
2,9,1995,1996,1.87,,1.78,1.83,1.87
3,9,1995,1996,1.83,,1.71,1.77,1.83
4,9,1995,1996,1.76,,1.67,1.72,1.76
5,9,1995,1996,1.72,,1.61,1.67,1.72
6,9,1995,1996,1.67,,1.54,1.61,1.67
7,9,1995,1996,1.63,,1.51,1.57,1.63
8,9,1995,1996,1.56,,1.46,1.51,1.56
9,9,1995,1996,1.52,,1.4,1.46,1.52
10,9,1995,1996,1.47,,1.38,1.43,1.47
11,9,1995,1996,1.42,,1.66,1.54,1.66
12,9,1995,1996,1.81,,1.62,1.72,1.81
