Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
0.940999985,0.001,-0.93,0.117,-2.18
0.738999963,-0.16,-1.01,0.389,-2.276
0.035,0.095,-1.159,0.042,-2.546
0.597000003,0.038,-0.882,0.44,-2.317
0.243000001,0.099,-0.978,0.553,-1.912
1.021000028,0.02,-0.356,0.623,-1.725
0.245000005,-0.203,-1.111,0.575,-2.48
0.004,-0.709,-1.309,0.206,-2.473
0.837000012,0.25,-1.306,0.084,-2.663
-0.837000012,-0.254,0.188,-0.032,-2.48
-0.368000001,0.21,0.031,0.338,-2.135
-0.372000009,0.209,-1.328,0.333,-2.137
0.165999994,0.356,-1.012,0.298,-2.172
0.507000029,0.368,-1.173,0.498,-2.332
0.866999984,0.632,-1.086,0.546,-1.854
0.316000015,0.214,-1.68,0.75,-1.696
1.345999956,0.689,-1.725,1.54,-1.425
1.468000054,0.21,-1.616,1.332,-1.695
1.410000086,-0.403,-1.525,1.092,-1.772
0.927999973,-0.496,-1.423,1.356,-2.429
-1.406000018,-0.739,-1.581,-0.668,-3.377
-1.161999941,-0.561,-1.441,-0.437,-3.071
-0.839000046,-0.347,-1.589,-0.084,-2.794
-1.021000028,-0.125,-1.485,0.051,-2.225
-0.224999994,0.156,-1.524,0.013,-2.2
-0.229000002,0.156,-1.558,0.008,-2.202
0.484000027,0.825,-1.424,0.316,-1.778
0.497999996,0.85,-1.368,0.581,-1.667
0.338,0.654,-0.054,0.679,-1.231
-0.001,0.92,-0.323,0.55,-0.965
0.564999998,0.771,-0.195,1.085,-1.507
0.769999981,0.351,-0.878,1.776,-1.498
0.260999978,-0.242,-0.906,1.834,-1.651
1.95599997,-0.179,-1.329,1.803,-1.979
1.725000024,0.098,-1.483,1.912,-2.1
-2.10800004,-1.135,-1.368,-1.289,-4.018
-2.162999868,-1.131,-1.395,-1.3,-3.99
-2.10800004,-0.728,-1.641,-1.22,-3.818
-1.638999939,-0.652,-1.507,-0.92,-3.517
-0.972000003,-0.33,-1.686,-0.051,-2.892
-1.069000006,0.146,-1.478,0.222,-2.689
0.19600001,0.283,-1.346,0.538,-1.868
0.192000002,0.283,-1.507,0.533,-1.871
-0.656000018,0.605,-0.796,0.797,-1.661
-0.872999966,1.331,0.214,0.867,-1.727
-0.638000011,0.618,-0.089,1.047,-1.46
-0.26700002,0.557,-0.581,0.114,-1.22
-0.265000016,0.657,-0.169,1.267,-1.208
-1.139000058,0.622,-0.277,0.529,-1.725
-1.04399991,0.073,-0.55,1.113,-1.828
-0.564999998,-0.356,-0.612,1.24,-1.888
1.284000039,-0.148,-0.731,1.144,-1.778
1.97299993,0.051,-0.846,1.943,-1.385
1.928000093,0.845,-1.248,2.011,-1.405
